DV_EJERCICIO;MU_CODINE;MU_NOMBRE;DV_DVIVA
2019;03077;Hondón de las Nieves;0.00
2018;03077;Hondón de las Nieves;0.00
2017;03077;Hondón de las Nieves;0.00
2016;03077;Hondón de las Nieves;0.00
2015;03077;Hondón de las Nieves;0.00
2014;03077;Hondón de las Nieves;0.00
2013;03077;Hondón de las Nieves;0.00
2012;03077;Hondón de las Nieves;0.00
2012;03078;Hondón de los Frailes;171696.00
2013;03078;Hondón de los Frailes;120696.00
2014;03078;Hondón de los Frailes;45593.00
2015;03078;Hondón de los Frailes;46000.00
2016;03078;Hondón de los Frailes;0.00
2017;03078;Hondón de los Frailes;0.00
2018;03078;Hondón de los Frailes;0.00
2019;03078;Hondón de los Frailes;0.00
2020;03078;Hondón de los Frailes;0.00
2021;03078;Hondón de los Frailes;0.00
2021;03079;Ibi;2868632.00
2020;03079;Ibi;3241040.00
2019;03079;Ibi;3896771.00
2018;03079;Ibi;5676782.00
2017;03079;Ibi;6179572.00
2016;03079;Ibi;6843199.00
2015;03079;Ibi;7229000.00
2014;03079;Ibi;7825000.00
2013;03079;Ibi;8480000.00
2012;03079;Ibi;10415000.00
2012;03080;Jacarilla;231792.00
2013;03080;Jacarilla;206793.00
2014;03080;Jacarilla;181793.00
2015;03080;Jacarilla;163000.00
2016;03080;Jacarilla;151165.00
2017;03080;Jacarilla;0.00
2018;03080;Jacarilla;0.00
2019;03080;Jacarilla;0.00
2020;03080;Jacarilla;0.00
2021;03080;Jacarilla;0.00
2021;03081;Jalón/Xaló;83619.00
2020;03081;Jalón/Xaló;83619.00
2019;03081;Jalón/Xaló;0.00
2018;03081;Jalón/Xaló;0.00
2017;03081;Jalón/Xaló;0.00
2016;03081;Jalón/Xaló;0.00
2015;03081;Jalón/Xaló;0.00
2014;03081;Jalón/Xaló;13000.00
2013;03081;Jalón/Xaló;126800.00
2012;03081;Jalón/Xaló;154800.00
2012;03082;Jávea/Xàbia;33767000.00
2013;03082;Jávea/Xàbia;30122000.00
2014;03082;Jávea/Xàbia;26671000.00
2015;03082;Jávea/Xàbia;22228000.00
2016;03082;Jávea/Xàbia;16752410.00
2017;03082;Jávea/Xàbia;7990818.00
2018;03082;Jávea/Xàbia;2075217.00
2019;03082;Jávea/Xàbia;0.00
2020;03082;Jávea/Xàbia;0.00
2021;03082;Jávea/Xàbia;1106.00
2021;03083;Jijona/Xixona;570000.00
2020;03083;Jijona/Xixona;570000.00
2019;03083;Jijona/Xixona;0.00
2018;03083;Jijona/Xixona;0.00
2017;03083;Jijona/Xixona;338.00
2016;03083;Jijona/Xixona;675.00
2015;03083;Jijona/Xixona;0.00
2014;03083;Jijona/Xixona;0.00
2013;03083;Jijona/Xixona;1061000.00
2012;03083;Jijona/Xixona;1452000.00
2012;03084;Lorcha/Orxa (l');0.00
2013;03084;Lorcha/Orxa (l');534379.00
2014;03084;Lorcha/Orxa (l');505752.00
2015;03084;Lorcha/Orxa (l');473000.00
2016;03084;Lorcha/Orxa (l');694293.00
2017;03084;Lorcha/Orxa (l');669599.00
2018;03084;Lorcha/Orxa (l');638013.00
2019;03084;Lorcha/Orxa (l');644222.00
2020;03084;Lorcha/Orxa (l');644222.00
2021;03084;Lorcha/Orxa (l');644222.00
2021;03085;Llíber;113479.00
2020;03085;Llíber;180909.00
2019;03085;Llíber;253272.00
2018;03085;Llíber;327377.00
2017;03085;Llíber;404148.00
2016;03085;Llíber;480435.00
2015;03085;Llíber;543000.00
2014;03085;Llíber;544513.00
2013;03085;Llíber;578908.00
2012;03085;Llíber;578907.00
2012;03086;Millena;44000.00
2013;03086;Millena;69394.00
2014;03086;Millena;50571.00
2015;03086;Millena;30000.00
2016;03086;Millena;26400.00
2017;03086;Millena;58325.00
2018;03086;Millena;15600.00
2019;03086;Millena;10800.00
2020;03086;Millena;6000.00
2021;03086;Millena;0.00
2021;03088;Monforte del Cid;5009248.00
2020;03088;Monforte del Cid;5137410.00
2019;03088;Monforte del Cid;6884763.00
2018;03088;Monforte del Cid;7109765.00
2017;03088;Monforte del Cid;7409923.00
2016;03088;Monforte del Cid;8218601.00
2015;03088;Monforte del Cid;8936000.00
2014;03088;Monforte del Cid;9276737.00
2013;03088;Monforte del Cid;10065737.00
2012;03088;Monforte del Cid;9853597.00
2012;03089;Monóvar/Monòver;16105564.00
2013;03089;Monóvar/Monòver;16438340.00
2014;03089;Monóvar/Monòver;14108696.00
2015;03089;Monóvar/Monòver;13120000.00
2016;03089;Monóvar/Monòver;11765634.00
2017;03089;Monóvar/Monòver;11581508.00
2018;03089;Monóvar/Monòver;11237082.00
2019;03089;Monóvar/Monòver;16123062.00
2020;03089;Monóvar/Monòver;15464560.00
2021;03089;Monóvar/Monòver;15324581.00
2021;03090;Mutxamel;154003.00
2020;03090;Mutxamel;5904.00
2019;03090;Mutxamel;13840.00
2018;03090;Mutxamel;5558.00
2017;03090;Mutxamel;0.00
2016;03090;Mutxamel;3710784.00
2015;03090;Mutxamel;5312000.00
2014;03090;Mutxamel;5354000.00
2013;03090;Mutxamel;8141687.00
2012;03090;Mutxamel;9875614.00
2012;03091;Murla;0.00
2013;03091;Murla;0.00
2014;03091;Murla;0.00
2015;03091;Murla;0.00
2016;03091;Murla;0.00
2017;03091;Murla;0.00
2018;03091;Murla;0.00
2019;03091;Murla;0.00
2020;03091;Murla;0.00
2021;03091;Murla;0.00
2021;03092;Muro de Alcoy;0.00
2020;03092;Muro de Alcoy;0.00
2019;03092;Muro de Alcoy;0.00
2018;03092;Muro de Alcoy;0.00
2017;03092;Muro de Alcoy;0.00
2016;03092;Muro de Alcoy;544997.00
2015;03092;Muro de Alcoy;870000.00
2014;03092;Muro de Alcoy;1441000.00
2013;03092;Muro de Alcoy;2165175.00
2012;03092;Muro de Alcoy;2813174.00
2012;03093;Novelda;28552945.00
2013;03093;Novelda;31874012.00
2014;03093;Novelda;27626343.00
2015;03093;Novelda;25693000.00
2016;03093;Novelda;25098123.00
2017;03093;Novelda;25356193.00
2018;03093;Novelda;18368167.00
2019;03093;Novelda;15143352.00
2020;03093;Novelda;13600863.00
2021;03093;Novelda;12349645.00
2021;03094;Nucia (la);12240189.00
2020;03094;Nucia (la);15100840.00
2019;03094;Nucia (la);14321666.00
2018;03094;Nucia (la);16353784.00
2017;03094;Nucia (la);15055558.00
2016;03094;Nucia (la);15251655.00
2015;03094;Nucia (la);10536000.00
2014;03094;Nucia (la);10815811.00
2013;03094;Nucia (la);12497811.00
2012;03094;Nucia (la);12916246.00
2012;03095;Ondara;4140949.00
2013;03095;Ondara;3884950.00
2014;03095;Ondara;3777515.00
2015;03095;Ondara;3206000.00
2016;03095;Ondara;2730384.00
2017;03095;Ondara;1648650.00
2018;03095;Ondara;539684.00
2019;03095;Ondara;211202.00
2020;03095;Ondara;0.00
2021;03095;Ondara;0.00
2021;03096;Onil;0.00
2020;03096;Onil;0.00
2019;03096;Onil;0.00
2018;03096;Onil;0.00
2017;03096;Onil;0.00
2016;03096;Onil;0.00
2015;03096;Onil;1405000.00
2014;03096;Onil;2487970.00
2013;03096;Onil;3100481.00
2012;03096;Onil;3269481.00
2012;03097;Orba;2401199.00
2013;03097;Orba;2171476.00
2014;03097;Orba;1216027.00
2015;03097;Orba;1114000.00
2016;03097;Orba;1061674.00
2017;03097;Orba;975269.00
2018;03097;Orba;894658.00
2019;03097;Orba;813999.00
2020;03097;Orba;733271.00
2021;03097;Orba;1007439.00
2021;03098;Orxeta;70.00
2020;03098;Orxeta;0.00
2019;03098;Orxeta;0.00
2018;03098;Orxeta;70073.00
2017;03098;Orxeta;130000.00
2016;03098;Orxeta;245623.00
2015;03098;Orxeta;230000.00
2014;03098;Orxeta;440777.00
2013;03098;Orxeta;334495.00
2012;03098;Orxeta;346495.00
2012;03099;Orihuela;58959020.00
2013;03099;Orihuela;53634021.00
2014;03099;Orihuela;44485640.00
2015;03099;Orihuela;37981000.00
2016;03099;Orihuela;29693744.00
2017;03099;Orihuela;23342071.00
2018;03099;Orihuela;17609570.00
2019;03099;Orihuela;14137439.00
2020;03099;Orihuela;10784416.00
2021;03099;Orihuela;7384165.00
2021;03100;Parcent;0.00
2020;03100;Parcent;0.00
2019;03100;Parcent;0.00
2018;03100;Parcent;0.00
2017;03100;Parcent;0.00
2016;03100;Parcent;0.00
2015;03100;Parcent;0.00
2014;03100;Parcent;32000.00
2013;03100;Parcent;37000.00
2012;03100;Parcent;42000.00
2012;03101;Pedreguer;4420826.00
2013;03101;Pedreguer;3771827.00
2014;03101;Pedreguer;2883963.00
2015;03101;Pedreguer;2363000.00
2016;03101;Pedreguer;1962467.00
2017;03101;Pedreguer;905678.00
2018;03101;Pedreguer;196618.00
2019;03101;Pedreguer;1610.00
2020;03101;Pedreguer;22021.00
2021;03101;Pedreguer;18330.00
2021;03102;Pego;2428739.00
2020;03102;Pego;3273595.00
2019;03102;Pego;4121948.00
2018;03102;Pego;4974750.00
2017;03102;Pego;5399667.00
2016;03102;Pego;6318742.00
2015;03102;Pego;7140000.00
2014;03102;Pego;8334756.00
2013;03102;Pego;9700160.00
2012;03102;Pego;10821159.00
2012;03103;Penàguila;204186.00
2013;03103;Penàguila;166187.00
2014;03103;Penàguila;142925.00
2015;03103;Penàguila;123000.00
2016;03103;Penàguila;94061.00
2017;03103;Penàguila;64150.00
2018;03103;Penàguila;42355.00
2019;03103;Penàguila;29332.00
2020;03103;Penàguila;16506.00
2021;03103;Penàguila;9785.00
2021;03104;Petrer;456040.00
2020;03104;Petrer;655361.00
2019;03104;Petrer;1175879.00
2018;03104;Petrer;1942193.00
2017;03104;Petrer;4194905.00
2016;03104;Petrer;5764913.00
2015;03104;Petrer;7065000.00
2014;03104;Petrer;8549000.00
2013;03104;Petrer;13161000.00
2012;03104;Petrer;15344299.00
2012;03105;Pinoso;5985296.00
2013;03105;Pinoso;4297296.00
2014;03105;Pinoso;2788000.00
2015;03105;Pinoso;1851000.00
2016;03105;Pinoso;3902281.00
2017;03105;Pinoso;3058672.00
2018;03105;Pinoso;2530424.00
2019;03105;Pinoso;592259.00
2020;03105;Pinoso;327237.00
2021;03105;Pinoso;290248.00
2021;03106;Planes;93426.00
2020;03106;Planes;112112.00
2019;03106;Planes;112112.00
2018;03106;Planes;129192.00
2017;03106;Planes;145999.00
2016;03106;Planes;171873.00
2015;03106;Planes;198000.00
2014;03106;Planes;212797.00
2013;03106;Planes;231964.00
2012;03106;Planes;353963.00
2012;03107;Polop;5554850.00
2013;03107;Polop;4966851.00
2014;03107;Polop;3930250.00
2015;03107;Polop;3477000.00
2016;03107;Polop;3215489.00
2017;03107;Polop;2860845.00
2018;03107;Polop;2554183.00
2019;03107;Polop;2247032.00
2020;03107;Polop;1939269.00
2021;03107;Polop;1630699.00
2021;03109;Rafal;46988.00
2020;03109;Rafal;78314.00
2019;03109;Rafal;109639.00
2018;03109;Rafal;140965.00
2017;03109;Rafal;180122.00
2016;03109;Rafal;203616.00
2015;03109;Rafal;219000.00
2014;03109;Rafal;448840.00
2013;03109;Rafal;871656.00
2012;03109;Rafal;917656.00
2012;03110;Ràfol d'Almúnia (El);90000.00
2013;03110;Ràfol d'Almúnia (El);74000.00
2014;03110;Ràfol d'Almúnia (El);53000.00
2015;03110;Ràfol d'Almúnia (El);44000.00
2016;03110;Ràfol d'Almúnia (El);35925.00
2017;03110;Ràfol d'Almúnia (El);27251.00
2018;03110;Ràfol d'Almúnia (El);18450.00
2019;03110;Ràfol d'Almúnia (El);9275.00
2020;03110;Ràfol d'Almúnia (El);0.00
2021;03110;Ràfol d'Almúnia (El);0.00
2021;03111;Redován;1323877.00
2020;03111;Redován;1172659.00
2019;03111;Redován;1641723.00
2018;03111;Redován;2110786.00
2017;03111;Redován;2579850.00
2016;03111;Redován;3048914.00
2015;03111;Redován;3391000.00
2014;03111;Redován;3522138.00
2013;03111;Redován;4270997.00
2012;03111;Redován;4137845.00
2012;03112;Relleu;253000.00
2013;03112;Relleu;157000.00
2014;03112;Relleu;0.00
2015;03112;Relleu;0.00
2016;03112;Relleu;0.00
2017;03112;Relleu;0.00
2018;03112;Relleu;0.00
2019;03112;Relleu;0.00
2020;03112;Relleu;0.00
2021;03112;Relleu;0.00
2021;03113;Rojales;49988.00
2020;03113;Rojales;6822.00
2019;03113;Rojales;0.00
2018;03113;Rojales;0.00
2017;03113;Rojales;18780.00
2016;03113;Rojales;10914.00
2015;03113;Rojales;0.00
2014;03113;Rojales;0.00
2013;03113;Rojales;759020.00
2012;03113;Rojales;1009020.00
2012;03114;Romana (la);343866.00
2013;03114;Romana (la);73000.00
2014;03114;Romana (la);60000.00
2015;03114;Romana (la);0.00
2016;03114;Romana (la);0.00
2017;03114;Romana (la);0.00
2018;03114;Romana (la);0.00
2019;03114;Romana (la);0.00
2020;03114;Romana (la);0.00
2021;03114;Romana (la);0.00
2021;03115;Sagra;0.00
2020;03115;Sagra;0.00
2019;03115;Sagra;0.00
2018;03115;Sagra;0.00
2017;03115;Sagra;0.00
2016;03115;Sagra;0.00
2015;03115;Sagra;0.00
2014;03115;Sagra;0.00
2013;03115;Sagra;0.00
2012;03115;Sagra;0.00
2012;03116;Salinas;0.00
2013;03116;Salinas;0.00
2014;03116;Salinas;0.00
2015;03116;Salinas;0.00
2016;03116;Salinas;0.00
2017;03116;Salinas;0.00
2018;03116;Salinas;0.00
2019;03116;Salinas;856475.00
2020;03116;Salinas;1225643.00
2021;03116;Salinas;1418429.00
2021;03117;Sanet y Negrals;0.00
2020;03117;Sanet y Negrals;0.00
2019;03117;Sanet y Negrals;0.00
2018;03117;Sanet y Negrals;0.00
2017;03117;Sanet y Negrals;0.00
2016;03117;Sanet y Negrals;30891.00
2015;03117;Sanet y Negrals;91000.00
2014;03117;Sanet y Negrals;96166.00
2013;03117;Sanet y Negrals;208968.00
2012;03117;Sanet y Negrals;131968.00
2012;03118;San Fulgencio;7097850.00
2013;03118;San Fulgencio;7097819.00
2014;03118;San Fulgencio;6900819.00
2015;03118;San Fulgencio;6710000.00
2016;03118;San Fulgencio;5569856.00
2017;03118;San Fulgencio;4184925.00
2018;03118;San Fulgencio;3544617.00
2019;03118;San Fulgencio;1767507.00
2020;03118;San Fulgencio;345461.00
2021;03118;San Fulgencio;0.00
2021;03119;Sant Joan d'Alacant;3903155.00
2020;03119;Sant Joan d'Alacant;4689469.00
2019;03119;Sant Joan d'Alacant;4096679.00
2018;03119;Sant Joan d'Alacant;6960001.00
2017;03119;Sant Joan d'Alacant;7514744.00
2016;03119;Sant Joan d'Alacant;9602129.00
2015;03119;Sant Joan d'Alacant;6550000.00
2014;03119;Sant Joan d'Alacant;6838364.00
2013;03119;Sant Joan d'Alacant;7469364.00
2012;03119;Sant Joan d'Alacant;7985364.00
2012;03120;San Miguel de Salinas;2308933.00
2013;03120;San Miguel de Salinas;2137933.00
2014;03120;San Miguel de Salinas;1744045.00
2015;03120;San Miguel de Salinas;972000.00
2016;03120;San Miguel de Salinas;349300.00
2017;03120;San Miguel de Salinas;243.00
2018;03120;San Miguel de Salinas;2715.00
2019;03120;San Miguel de Salinas;1656.00
2020;03120;San Miguel de Salinas;1331.00
2021;03120;San Miguel de Salinas;0.00
2021;03121;Santa Pola;1741967.00
2020;03121;Santa Pola;2743768.00
2019;03121;Santa Pola;2895082.00
2018;03121;Santa Pola;3228949.00
2017;03121;Santa Pola;4009633.00
2016;03121;Santa Pola;4792893.00
2015;03121;Santa Pola;4547000.00
2014;03121;Santa Pola;5877218.00
2013;03121;Santa Pola;7736078.00
2012;03121;Santa Pola;8610078.00
2012;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;18136000.00
2013;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;15032000.00
2014;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;10304000.00
2015;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;8641000.00
2016;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;6546316.00
2017;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;1800579.00
2018;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;493921.00
2019;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;917543.00
2020;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;140096.00
2021;03122;San Vicente del Raspeig/Sant Vicent del Raspeig;35408.00
2021;03123;Sax;397763.00
2020;03123;Sax;5161.00
2019;03123;Sax;0.00
2018;03123;Sax;534715.00
2017;03123;Sax;2152732.00
2016;03123;Sax;2465298.00
2015;03123;Sax;3419000.00
2014;03123;Sax;4456072.00
2013;03123;Sax;5775204.00
2012;03123;Sax;6783204.00
2012;03124;Sella;0.00
2013;03124;Sella;0.00
2014;03124;Sella;0.00
2015;03124;Sella;0.00
2016;03124;Sella;247.00
2017;03124;Sella;0.00
2018;03124;Sella;0.00
2019;03124;Sella;0.00
2020;03124;Sella;0.00
2021;03124;Sella;0.00
2021;03125;Senija;0.00
2020;03125;Senija;0.00
2019;03125;Senija;0.00
2018;03125;Senija;0.00
2017;03125;Senija;0.00
2016;03125;Senija;0.00
2015;03125;Senija;0.00
2014;03125;Senija;0.00
2013;03125;Senija;0.00
2012;03125;Senija;0.00
2012;03127;Tárbena;182119.00
2013;03127;Tárbena;172120.00
2014;03127;Tárbena;149303.00
2015;03127;Tárbena;137000.00
2016;03127;Tárbena;119529.00
2017;03127;Tárbena;101577.00
2018;03127;Tárbena;50922.00
2019;03127;Tárbena;30334.00
2020;03127;Tárbena;11247.00
2021;03127;Tárbena;3690.00
2021;03128;Teulada;0.00
2020;03128;Teulada;0.00
2019;03128;Teulada;0.00
2018;03128;Teulada;0.00
2017;03128;Teulada;20.00
2016;03128;Teulada;2075422.00
2015;03128;Teulada;3546000.00
2014;03128;Teulada;5480527.00
2013;03128;Teulada;7886985.00
2012;03128;Teulada;9503985.00
2012;03129;Tibi;1208090.00
2013;03129;Tibi;1113090.00
2014;03129;Tibi;951647.00
2015;03129;Tibi;311000.00
2016;03129;Tibi;113704.00
2017;03129;Tibi;0.00
2018;03129;Tibi;0.00
2019;03129;Tibi;398621.00
2020;03129;Tibi;398621.00
2021;03129;Tibi;398621.00
2021;03130;Tollos;0.00
2020;03130;Tollos;0.00
2019;03130;Tollos;0.00
2018;03130;Tollos;0.00
2017;03130;Tollos;0.00
2016;03130;Tollos;0.00
2015;03130;Tollos;0.00
2014;03130;Tollos;9611.00
2013;03130;Tollos;19245.00
2012;03130;Tollos;74740.00
2012;03131;Tormos;160801.00
2013;03131;Tormos;152801.00
2014;03131;Tormos;0.00
2015;03131;Tormos;0.00
2016;03131;Tormos;0.00
2017;03131;Tormos;0.00
2018;03131;Tormos;0.00
2019;03131;Tormos;0.00
2020;03131;Tormos;0.00
2021;03131;Tormos;0.00
2021;03132;Torremanzanas/Torre de les Maçanes (la);0.00
2020;03132;Torremanzanas/Torre de les Maçanes (la);61150.00
2019;03132;Torremanzanas/Torre de les Maçanes (la);85610.00
2018;03132;Torremanzanas/Torre de les Maçanes (la);110070.00
2017;03132;Torremanzanas/Torre de les Maçanes (la);142492.00
2016;03132;Torremanzanas/Torre de les Maçanes (la);273302.00
2015;03132;Torremanzanas/Torre de les Maçanes (la);352000.00
2014;03132;Torremanzanas/Torre de les Maçanes (la);452451.00
2013;03132;Torremanzanas/Torre de les Maçanes (la);599681.00
2012;03132;Torremanzanas/Torre de les Maçanes (la);710680.00
2012;03133;Torrevieja;72818091.00
2013;03133;Torrevieja;66755092.00
2014;03133;Torrevieja;62974461.00
2015;03133;Torrevieja;58219000.00
2016;03133;Torrevieja;38915643.00
2017;03133;Torrevieja;23030295.00
2018;03133;Torrevieja;22147636.00
2019;03133;Torrevieja;20125976.00
2020;03133;Torrevieja;9984158.00
2021;03133;Torrevieja;4966879.00
2021;03134;Vall d'Alcalà (la);0.00
2020;03134;Vall d'Alcalà (la);0.00
2019;03134;Vall d'Alcalà (la);0.00
2018;03134;Vall d'Alcalà (la);0.00
2017;03134;Vall d'Alcalà (la);0.00
2016;03134;Vall d'Alcalà (la);0.00
2015;03134;Vall d'Alcalà (la);0.00
2014;03134;Vall d'Alcalà (la);24611.00
2013;03134;Vall d'Alcalà (la);36252.00
2012;03134;Vall d'Alcalà (la);26252.00
2012;03135;Vall d'Ebo (La);115433.00
2013;03135;Vall d'Ebo (La);25433.00
2014;03135;Vall d'Ebo (La);0.00
2015;03135;Vall d'Ebo (La);0.00
2016;03135;Vall d'Ebo (La);0.00
2017;03135;Vall d'Ebo (La);0.00
2018;03135;Vall d'Ebo (La);0.00
2019;03135;Vall d'Ebo (La);0.00
2020;03135;Vall d'Ebo (La);0.00
2021;03135;Vall d'Ebo (La);0.00
2021;03136;Vall de Gallinera;0.00
2020;03136;Vall de Gallinera;0.00
2019;03136;Vall de Gallinera;0.00
2018;03136;Vall de Gallinera;0.00
2017;03136;Vall de Gallinera;0.00
2016;03136;Vall de Gallinera;17021.00
2015;03136;Vall de Gallinera;4000.00
2014;03136;Vall de Gallinera;57333.00
2013;03136;Vall de Gallinera;104769.00
2012;03136;Vall de Gallinera;0.00
2012;03137;Vall de Laguart (La);441351.00
2013;03137;Vall de Laguart (La);339351.00
2014;03137;Vall de Laguart (La);224704.00
2015;03137;Vall de Laguart (La);160000.00
2016;03137;Vall de Laguart (La);46723.00
2017;03137;Vall de Laguart (La);0.00
2018;03137;Vall de Laguart (La);0.00
2019;03137;Vall de Laguart (La);0.00
2020;03137;Vall de Laguart (La);0.00
2021;03137;Vall de Laguart (La);0.00
2021;03138;Verger (el);12183.00
2020;03138;Verger (el);1331958.00
2019;03138;Verger (el);1476372.00
2018;03138;Verger (el);2260327.00
2017;03138;Verger (el);2463132.00
2016;03138;Verger (el);2984558.00
2015;03138;Verger (el);2909000.00
2014;03138;Verger (el);3248866.00
2013;03138;Verger (el);3595866.00
2012;03138;Verger (el);2839541.00
2012;03139;Villajoyosa/Vila Joiosa (la);24286024.00
2013;03139;Villajoyosa/Vila Joiosa (la);22047914.00
2014;03139;Villajoyosa/Vila Joiosa (la);18225914.00
2015;03139;Villajoyosa/Vila Joiosa (la);15127000.00
2016;03139;Villajoyosa/Vila Joiosa (la);13924090.00
2017;03139;Villajoyosa/Vila Joiosa (la);11690547.00
2018;03139;Villajoyosa/Vila Joiosa (la);1942374.00
2019;03139;Villajoyosa/Vila Joiosa (la);14201.00
2020;03139;Villajoyosa/Vila Joiosa (la);14352.00
2021;03139;Villajoyosa/Vila Joiosa (la);0.00
2021;03140;Villena;0.00
2020;03140;Villena;0.00
2019;03140;Villena;385952.00
2018;03140;Villena;0.00
2017;03140;Villena;116141.00
2016;03140;Villena;1297744.00
2015;03140;Villena;6790000.00
2014;03140;Villena;9624166.00
2013;03140;Villena;12541765.00
2012;03140;Villena;17856448.00
2012;03901;Poblets (els);0.00
2013;03901;Poblets (els);0.00
2014;03901;Poblets (els);0.00
2015;03901;Poblets (els);0.00
2016;03901;Poblets (els);79839.00
2017;03901;Poblets (els);0.00
2018;03901;Poblets (els);0.00
2019;03901;Poblets (els);0.00
2020;03901;Poblets (els);0.00
2021;03901;Poblets (els);0.00
2021;03902;Pilar de la Horadada;6000000.00
2020;03902;Pilar de la Horadada;9075000.00
2019;03902;Pilar de la Horadada;0.00
2018;03902;Pilar de la Horadada;1185014.00
2017;03902;Pilar de la Horadada;3014566.00
2016;03902;Pilar de la Horadada;5662992.00
2015;03902;Pilar de la Horadada;6114000.00
2014;03902;Pilar de la Horadada;9252000.00
2013;03902;Pilar de la Horadada;12689922.00
2012;03902;Pilar de la Horadada;13619921.00
2012;03903;Montesinos (Los);768596.00
2013;03903;Montesinos (Los);700596.00
2014;03903;Montesinos (Los);295000.00
2015;03903;Montesinos (Los);227000.00
2016;03903;Montesinos (Los);3750.00
2017;03903;Montesinos (Los);0.00
2018;03903;Montesinos (Los);0.00
2019;03903;Montesinos (Los);0.00
2020;03903;Montesinos (Los);0.00
2021;03903;Montesinos (Los);0.00
2021;03904;San Isidro;0.00
2020;03904;San Isidro;0.00
2019;03904;San Isidro;596.00
2018;03904;San Isidro;152888.00
2017;03904;San Isidro;242563.00
2016;03904;San Isidro;332187.00
2015;03904;San Isidro;399000.00
2014;03904;San Isidro;473847.00
2013;03904;San Isidro;542370.00
2012;03904;San Isidro;600370.00
